,source_sentence,ref0,hyp0,wer0,ref1,hyp1,wer1
1117,какой город какой области,какой город какой области,какой город какой области,0.0,какой город какой области,какой город какой области,0.0
1118,не я ж тебе говорю ты же знаешь что такое эээ,не я ж тебе говорю ты же знаешь что такое эээ,не я ж тебе говорю ты же знаешь что такое э,0.09090909090909091,не я ж тебе говорю ты же знаешь что такое эээ,не я ж тебе говорю ты же знаешь что такое э,0.09090909090909091
1119,вот я хочу чтобы ты нашёл себе новую семью,вот я хочу чтобы ты нашёл себе новую семью,вот вот я хочу чтобы ты нашел себе новую семью,0.2222222222222222,вот я хочу чтобы ты нашёл себе новую семью,вот я хочу чтобы ты нашел себе новую семью,0.1111111111111111
1120,ты чё больной что ли,ты чё больной что ли,и ты че больной что ли,0.4,ты чё больной что ли,ты че больной что ли,0.2
1121,какой военкомат то,какой военкомат то,какой военнокомат,0.6666666666666666,какой военкомат то,какой воинкомат то,0.3333333333333333
1122,да я сторож военкомата вот вы где щас находитесь,да я сторож военкомата вот вы где щас находитесь,да я сто разговариваю как вы где щас находитесь,0.3333333333333333,да я сторож военкомата вот вы где щас находитесь,да я сто раз и информациона вот вы где щас находитесь,0.4444444444444444
1123,как это нет у нас нету такого приказа,как это нет у нас нету такого приказа,как это нет у нас нету такого приказа,0.0,как это нет у нас нету такого приказа,как это нет нет у нас нету такого приказа,0.125
1124,вот вот а ты мне вот что расскажи расскажи про свою бабушку да ну как же так вот рассказать,вот вот а ты мне вот что расскажи расскажи про свою бабушку да ну как же так вот рассказать,вот ты мне вот что расскажи раскажи про свою бабушку да ну как же так вот рассказать,0.15789473684210525,вот вот а ты мне вот что расскажи расскажи про свою бабушку да ну как же так вот рассказать,вот вот а ты мне вот что рассскажи раскажи про свою бабушку да но как же так вот рассказать,0.15789473684210525
1125,не знаю а почему,не знаю а почему,не знаю а почему,0.0,не знаю а почему,не знаю почему,0.25
1126,да я понимаю да,да я понимаю да,да я понимаю да,0.0,да я понимаю да,да я понимаю да,0.0
1127,я сторож военкомата вы куда звоните,я сторож военкомата вы куда звоните,я сто раз говорю вы куда звоните,0.5,я сторож военкомата вы куда звоните,я сто раз военно куда звоните,0.5
1128,у тебя же всё есть,у тебя же всё есть,задерживый сто,1.0,у тебя же всё есть,тебя же все есть,0.4
1129,а я вам щас передам,а я вам щас передам,а я вам щас передам,0.0,а я вам щас передам,а я вам щас передам,0.0
1130,ну и что дальше,ну и что дальше,ну что дальше,0.25,ну и что дальше,и что дальше,0.25
1131,не ну если ты будешь постоянно названивать в разные организации так можно до беды дойти я даже и не представляю себе как тебе живётся понимаешь ну в принципе нормально ну вот ты говоришь что ты работаешь сторожем да,не ну если ты будешь постоянно названивать в разные организации так можно до беды дойти я даже и не представляю себе как тебе живётся понимаешь ну в принципе нормально ну вот ты говоришь что ты работаешь сторожем да,не ну если ты будешь постоянно названивать в разные орган,0.7631578947368421,не ну если ты будешь постоянно названивать в разные организации так можно до беды дойти я даже и не представляю себе как тебе живётся понимаешь ну в принципе нормально ну вот ты говоришь что ты работаешь сторожем да,не ну если ты будешь постоянно названивает в разный орга,0.8157894736842105
1132,так что я вам больше ничего сказать не могу здравствуйте а куда вы звоните скажите пожалуйста,так что я вам больше ничего сказать не могу здравствуйте а куда вы звоните скажите пожалуйста,так что я вам больше ничего сказать не могу здравствуйте куда вы звоните скажите пожалуйста,0.0625,так что я вам больше ничего сказать не могу здравствуйте а куда вы звоните скажите пожалуйста,так что я вам больше ничего сказать не могу здравствуйте а куда вы звоните скажите пожалуйста,0.0
1133,ну чё вы там звоните так быстро у вас есть какой то номер телефона скажите мне пожалуйста или нет я не поняла ещё раз,ну чё вы там звоните так быстро у вас есть какой то номер телефона скажите мне пожалуйста или нет я не поняла ещё раз,ну че вы там звоните так быстро у вас есть какой то номер телефона скажите мне пожалуйста или нет я не поняла еще раз,0.08333333333333333,ну чё вы там звоните так быстро у вас есть какой то номер телефона скажите мне пожалуйста или нет я не поняла ещё раз,ну че вы там звоните так быстро у вас есть какой то номер телефона скажите мне пожалуйста или нет я не поняла еще раз,0.08333333333333333
1134,давай по делу давай поговорим нормально а,давай по делу давай поговорим нормально а,давай по делу давай поговорим нормально а,0.0,давай по делу давай поговорим нормально а,давайте по делу давайте поговорим нормально а по,0.42857142857142855
1135,нууу и хорошо ладно всё тогда приходи щас буду ждать звонка эээ как там дальше,нууу и хорошо ладно всё тогда приходи щас буду ждать звонка эээ как там дальше,ну и хорошо ладно все тогда приходи ждать звонка как там дальше,0.3333333333333333,нууу и хорошо ладно всё тогда приходи щас буду ждать звонка эээ как там дальше,ну и хорошо ладно все тогда приходит звонка э как там дальше,0.4666666666666667
1136,а я говорю а что такое,а я говорю а что такое,а я говорю а что такое,0.0,а я говорю а что такое,а я говорю а что такое,0.0
1137,ты блять не ебанная сука ты чё тупой,ты блять не ебанная сука ты чё тупой,блять не блять не было сука ты че тупой,0.5,ты блять не ебанная сука ты чё тупой,это ты блять ебанная сука ты че тупой,0.375
1138,всё таки если ты мне подаришь свой айфон ты меня извини я тебя больше никогда не буду звать ниии звонить,всё таки если ты мне подаришь свой айфон ты меня извини я тебя больше никогда не буду звать ниии звонить,все таки если ты мне подаришь свой айфон ты меня извини я тебя больше никогда не буду звать никогда не буду звать нии,0.3,всё таки если ты мне подаришь свой айфон ты меня извини я тебя больше никогда не буду звать ниии звонить,все таки если ты мне подаришь свой айфона ты мне извини я тебе больше никогда не буду звать ни звонить,0.25
1139,вот и я то же самое говорю,вот и я то же самое говорю,вот и я то же самое говорю,0.0,вот и я то же самое говорю,вот я то же самое говорю,0.14285714285714285
1140,да да я помню,да да я помню,да да я помню,0.0,да да я помню,да да я помню,0.0
1141,что тебе надо то,что тебе надо то,да да то э надо то,1.0,что тебе надо то,что тебе надо то,0.0
1142,угу давай встретимся там поговорим нормально,угу давай встретимся там поговорим нормально,встретимся там поговорим нормально,0.3333333333333333,угу давай встретимся там поговорим нормально,угу давай встретимся там поговорим нормально,0.0
1143,вот поэтому ты и звонишь а не как,вот поэтому ты и звонишь а не как,вот поэтому ты звонишь а не как,0.125,вот поэтому ты и звонишь а не как,вот поэтому ты звонишь не как,0.25
1144,это ты меня слышишь,это ты меня слышишь,это ты мне слышишь,0.25,это ты меня слышишь,это ты меня слышишь,0.0
1145,а я на минуточку нууу это было позавчера,а я на минуточку нууу это было позавчера,а я на минуточку ну это было позавчера,0.125,а я на минуточку нууу это было позавчера,ну это было позавчера,0.625
1146,дааа да это не плохо и полезно но вот только я ничё в этом не понимаю,дааа да это не плохо и полезно но вот только я ничё в этом не понимаю,да это не плохо и полезно но вот как я ничего не понимаю,0.3125,дааа да это не плохо и полезно но вот только я ничё в этом не понимаю,да да это не плохо и полезно но вот он только я ниче не этом не понимаю,0.25
1147,и ещё я говорю что у меня всё,и ещё я говорю что у меня всё,ну я еще я говорю что у меня все,0.5,и ещё я говорю что у меня всё,и еще я говорю что у меня все,0.25
1148,так вот,так вот,так вот,0.0,так вот,так вот,0.0
1149,а ну понятно всё,а ну понятно всё,а ну понятно все,0.25,а ну понятно всё,а ну понятно все,0.25
1150,и как бы в этот момент к нему подошёл эээ,и как бы в этот момент к нему подошёл эээ,и как бы в этот момент к нему подошел э,0.2,и как бы в этот момент к нему подошёл эээ,и как бы в этот момент подошел пошел,0.4
1151,ну и чё ну это ж не первый год я вожу там сколько народу валяется,ну и чё ну это ж не первый год я вожу там сколько народу валяется,ну это ж не первый год я вожу там сколько народу валяется,0.2,ну и чё ну это ж не первый год я вожу там сколько народу валяется,ну и че я первый год я вам год я вожу там сколько народу валяется,0.4
1152,ну вот как то так получается ну что тебе сказать,ну вот как то так получается ну что тебе сказать,ну вот как получается ну что тебе сказать,0.2,ну вот как то так получается ну что тебе сказать,ну вот как то так получается ну что тебе сказать,0.0
1153,вы кому звоните я спрашиваю кто вам нужен по вашему,вы кому звоните я спрашиваю кто вам нужен по вашему,вы кому звоните я спрашиваю кто вам нужен по вашему,0.0,вы кому звоните я спрашиваю кто вам нужен по вашему,вы кому звоните я спрашиваю кто вам нужен по вашему,0.0
1154,ты чё блядь вообще придурок что ли,ты чё блядь вообще придурок что ли,ты че блять вообще придурок что ли,0.2857142857142857,ты чё блядь вообще придурок что ли,че блять вообще придурок что ли,0.42857142857142855
1155,а чё ну как бы не совсем ааа,а чё ну как бы не совсем ааа,а че вы как бы не совсем ааа,0.25,а чё ну как бы не совсем ааа,а че ну как бы не совсем ааа,0.125
1156,я тебе скажу что ты меня достал я тебе сказал что я буду звонить каждый день в восемь утра по твоему,я тебе скажу что ты меня достал я тебе сказал что я буду звонить каждый день в восемь утра по твоему,я поскажу что ты меня достал я тебе сказал что я буду звонить каждый день восемь утра по твоему,0.14285714285714285,я тебе скажу что ты меня достал я тебе сказал что я буду звонить каждый день в восемь утра по твоему,я тебе скажу что ты меня достал я тебе сказал что я буду звонить каждый день в восемь утра по твоему,0.0
1157,вы знаете кто это такой,вы знаете кто это такой,вы знаете кто это такой,0.0,вы знаете кто это такой,вы знаете кто это такой,0.0
1158,ты чё больной что ли что не понял ещё давай встретимся да,ты чё больной что ли что не понял ещё давай встретимся да,ты че больной что ли что ли что не понял еще да,0.5,ты чё больной что ли что не понял ещё давай встретимся да,ты че больной что ли что не понял еще давай встретимся да,0.16666666666666666
1159,ты не понял это ты не хочешь понимать,ты не понял это ты не хочешь понимать,да не понял это ты не хочешь понимать,0.125,ты не понял это ты не хочешь понимать,ты не понял это ты не хочешь понимать,0.0
1160,я ж говорю что вы просто не находите это неправильным и так далее,я ж говорю что вы просто не находите это неправильным и так далее,я же говорю что вы просто не находите это неправильным и так далеее,0.15384615384615385,я ж говорю что вы просто не находите это неправильным и так далее,я же говорю что вы просто не находите это неправильным и так дале,0.15384615384615385
1161,вот он щяс у меня тут висит,вот он щяс у меня тут висит,вот он щас у меня тут висит,0.14285714285714285,вот он щяс у меня тут висит,вот он щас у меня тут висит,0.14285714285714285
1162,а вы откуда,а вы откуда,а вы откуда,0.0,а вы откуда,а вы откуда,0.0
1163,вот тебе спасибо за ответ я с тобой ещё поговорю щас позвоню к тебе домой заберу справку чтоб тебя больше не вызывали сюда э,вот тебе спасибо за ответ я с тобой ещё поговорю щас позвоню к тебе домой заберу справку чтоб тебя больше не вызывали сюда э,вот тебе спасибо за ответ я с тобой еще поговорю щас позвоню к тебе домой заберу справку чтоб тебя больше не вызывали сюда э,0.041666666666666664,вот тебе спасибо за ответ я с тобой ещё поговорю щас позвоню к тебе домой заберу справку чтоб тебя больше не вызывали сюда э,вот тебя спасибо за ответ я с тобой еще поговорю щас позвоню к тебе домой заберу справку чтоб тебя больше не вызывали сюда эт,0.125
1164,вот вам надо прийти в понедельник к девяти часам утра в военкб,вот вам надо прийти в понедельник к девяти часам утра в военкб,вот вам надо прийти в понедельник к девяти часам утра в военкб,0.0,вот вам надо прийти в понедельник к девяти часам утра в военкб,вот вам надо прийти в понедельник девяти часам утра в военкомат,0.16666666666666666
1165,какой город где вы живёте,какой город где вы живёте,какой город где вы живете,0.2,какой город где вы живёте,какой город где вы живете,0.2
1166,я не понимаю вы говорите что вам говорят,я не понимаю вы говорите что вам говорят,я не понимаю вы говорите что вам говорят,0.0,я не понимаю вы говорите что вам говорят,я не понимаю вы говорите что вам говорят,0.0
1167,нууу как бы ну это всё было давным давно,нууу как бы ну это всё было давным давно,ну как бы ну это все было давно,0.3333333333333333,нууу как бы ну это всё было давным давно,ну это все было давно давно,0.5555555555555556
1168,а дальше чё,а дальше чё,а дальше че,0.3333333333333333,а дальше чё,а да че,0.6666666666666666
1169,давай записывай как тебя зовут а ну давай запиши записал я тебе продиктовал номер иии пошёл дальше,давай записывай как тебя зовут а ну давай запиши записал я тебе продиктовал номер иии пошёл дальше,давай записывать как тебя зовут а ну давай запиши записал я тебя продиктовал номер и пошел дальше,0.23529411764705882,давай записывай как тебя зовут а ну давай запиши записал я тебе продиктовал номер иии пошёл дальше,давай записывай как тебя зовут а ну давай запиши запиши записал я перодиктовал номер и пошел дальше,0.29411764705882354
1170,вы кто вообще такие я сторож,вы кто вообще такие я сторож,вы щас вообще такие я сторож,0.16666666666666666,вы кто вообще такие я сторож,вы кто вообще такие я сторож,0.0
1171,а я вам ещё раз говорю кто такой эээ не знаю я не могу,а я вам ещё раз говорю кто такой эээ не знаю я не могу,а я вам щас раз говорю кто такой не знаю я не могу,0.14285714285714285,а я вам ещё раз говорю кто такой эээ не знаю я не могу,а я вам еще раз говорю кто такой не знаю я не могу,0.14285714285714285
1172,так вот слушай если бы ты был моим первым мужем ты бы со мной так никогда и не расстался б ты сука,так вот слушай если бы ты был моим первым мужем ты бы со мной так никогда и не расстался б ты сука,вот слушай если бы ты был моим первым мужем ты бы со мной так никогда не расстался б ты сука,0.09090909090909091,так вот слушай если бы ты был моим первым мужем ты бы со мной так никогда и не расстался б ты сука,да вот слушай если бы ты был моим первым мужем ты бы со мной так никогда и не расстался б ты сука,0.045454545454545456
1173,ты блять ебанный в рот слышишь,ты блять ебанный в рот слышишь,ты блять ебаный в род слышите,0.5,ты блять ебанный в рот слышишь,ты бля тебя её бально сорок,0.8333333333333334
1174,ну хорошо ладно тогда до свидания,ну хорошо ладно тогда до свидания,ну хорошо ладно тогда до свидания,0.0,ну хорошо ладно тогда до свидания,ну хорошо ладно тогда до свидания,0.0
1175,такой вот разговор пошёл ааа,такой вот разговор пошёл ааа,пошел такой вот разговор пошел ааа,0.4,такой вот разговор пошёл ааа,так чего я вам разговор пошел ааа,1.0
1176,ты что хочешь сказать чё ты звонишь а не на ментов баяном машешь,ты что хочешь сказать чё ты звонишь а не на ментов баяном машешь,ты что хочешь сказать че ты звонишь а не на ментов баяном машешь,0.07692307692307693,ты что хочешь сказать чё ты звонишь а не на ментов баяном машешь,ты что хочешь сказать че ты звонишь о ментов багатешь,0.46153846153846156
1177,угу я вам щас скину список с какими то вопросами и предложениями,угу я вам щас скину список с какими то вопросами и предложениями,щас скину список с какими вопросами и предложениями,0.3333333333333333,угу я вам щас скину список с какими то вопросами и предложениями,я вам щас передложения с какими то вопросами и предложениями,0.25
1178,нууу так что тебе надо я жду а ты мне звонишь да слушаю,нууу так что тебе надо я жду а ты мне звонишь да слушаю,ну так что тебе надо я жду о ты мне звонишь да слушаю,0.15384615384615385,нууу так что тебе надо я жду а ты мне звонишь да слушаю,ну так что тебе надо я жду от мне звонишь да слушаю,0.23076923076923078
1179,я тебе не могу сказать что у меня денег нет,я тебе не могу сказать что у меня денег нет,я тебе не могу сказать что у меня денег нет,0.0,я тебе не могу сказать что у меня денег нет,я тебе не могу сказать что у меня денег нет,0.0
1180,у нас на вас уголовное дело есть есть,у нас на вас уголовное дело есть есть,у нас на вас уголовное дело есть,0.125,у нас на вас уголовное дело есть есть,у нас на вас на вас уголовное дело есть,0.375
1181,нууу угу я понимаю что вы сёдня работаете,нууу угу я понимаю что вы сёдня работаете,ну я понимаю что вы сейчас заботаете,0.5,нууу угу я понимаю что вы сёдня работаете,ну я понимаю что вы сегодня работаете,0.375
1182,так это у нас дежурный по военкомату живёт,так это у нас дежурный по военкомату живёт,так это у нас дежурный по военноко,0.25,так это у нас дежурный по военкомату живёт,так это у нас дежурный по воинформату жевет,0.25
1183,у нас с тобой какая то фигня происходит,у нас с тобой какая то фигня происходит,нас с тобой какая то фигня происходит,0.125,у нас с тобой какая то фигня происходит,у нас с тобой какая то фигня происходит,0.0
1184,я вас слушаю алло вы меня слышите алё вы куда звоните а я вам звоню вы что хотите от меня,я вас слушаю алло вы меня слышите алё вы куда звоните а я вам звоню вы что хотите от меня,я вас слушаю алло вы меня слышите але вы куда звоните а я вам звоню вы что хотите от меня,0.05,я вас слушаю алло вы меня слышите алё вы куда звоните а я вам звоню вы что хотите от меня,я вас ну слушаю алло вы меня слышите але вы куда звоните а я вам звоню вы что хотите от меня,0.1
1185,а что такое эээ вот эта линия обороны и так далее,а что такое эээ вот эта линия обороны и так далее,а что такое э вот вот вы это линия обороны и так далеее,0.45454545454545453,а что такое эээ вот эта линия обороны и так далее,а что такое вот так линия обороны и так далее,0.18181818181818182
1186,ты чё с ума сошёл чтоле,ты чё с ума сошёл чтоле,ты че с ума сошел чтоле,0.3333333333333333,ты чё с ума сошёл чтоле,ты че с ума сошел чтоле,0.3333333333333333
1187,вы куда звоните то ааа,вы куда звоните то ааа,вы куда звоните то ааа,0.0,вы куда звоните то ааа,вы куда звоните то аа,0.2
1188,а вот так,а вот так,а вот так,0.0,а вот так,а вот вот так,0.3333333333333333
1189,а вот у меня нету таких записей вообще,а вот у меня нету таких записей вообще,а вот у меня нету таких записей вообще,0.0,а вот у меня нету таких записей вообще,это у меня нету таких записей вообще,0.25
1190,не ну а ты чё молчишь ааа не хочешь мне сказать,не ну а ты чё молчишь ааа не хочешь мне сказать,не ну а ты че молчишь ааа не хочешь мне сказать,0.09090909090909091,не ну а ты чё молчишь ааа не хочешь мне сказать,не ну а ты че молчишь не хочешь мне сказать,0.18181818181818182
1191,не понял вы кто такой,не понял вы кто такой,не понял вы кто такой,0.0,не понял вы кто такой,не понял вы кто такой,0.0
1192,так вот я вам скажу то о чём я вас прошу вы меня простите пожалуйста скажите по какому поводу я звоню куда то вы звоните мне,так вот я вам скажу то о чём я вас прошу вы меня простите пожалуйста скажите по какому поводу я звоню куда то вы звоните мне,так вот я вам скажу то о чем я вас прошу вы меня простите пожалуйста по какому поводу я звоню куда то вы звоните мне,0.07692307692307693,так вот я вам скажу то о чём я вас прошу вы меня простите пожалуйста скажите по какому поводу я звоню куда то вы звоните мне,так вот я вам скажу то о чем я вас прошу вы мне простите пожалуйста скажите по какому поводу я звоню куда то вы звоните мне,0.07692307692307693
1193,я не знаю куда звонить вам надо мне нужно к кому то чтобы я,я не знаю куда звонить вам надо мне нужно к кому то чтобы я,мне знаю куда звонить вам надо мне нужно к кому то чтобы я,0.14285714285714285,я не знаю куда звонить вам надо мне нужно к кому то чтобы я,я не знаю куда звонить вам надо мне нужно сколько я,0.2857142857142857
1194,ты же не собираешься меня убивать да,ты же не собираешься меня убивать да,ты же не собираешься меня убивать да,0.0,ты же не собираешься меня убивать да,ты же не собираешься меня убивать да,0.0
1195,нууу у тя какая должность,нууу у тя какая должность,ну у тебя какая должность,0.4,нууу у тя какая должность,ну у тебя какая должность,0.4
1196,ты не знаешь чё ты звонишь а,ты не знаешь чё ты звонишь а,ты не знаешь че ты звонишь,0.2857142857142857,ты не знаешь чё ты звонишь а,ты не знаешь че ты звонишь,0.2857142857142857
1197,а кто такой ало,а кто такой ало,а кто такой,0.25,а кто такой ало,а кто такой,0.25
1198,так и не знаю чё делать,так и не знаю чё делать,так и не знаю че делать,0.16666666666666666,так и не знаю чё делать,так и не знаю че дело,0.3333333333333333
1199,ну и чё там не так,ну и чё там не так,с ну и че там не так,0.3333333333333333,ну и чё там не так,ну че там не так,0.3333333333333333
1200,да ну вы меня пугаете я вам звоню потому что я знаю что ты эээ ээ,да ну вы меня пугаете я вам звоню потому что я знаю что ты эээ ээ,да ну вы меня пугаете я вам звоню потому что я знаю что ты э на,0.125,да ну вы меня пугаете я вам звоню потому что я знаю что ты эээ ээ,да ну вы меня пугаете я вам звоню потому что я знаю что то,0.1875
1201,нет я понимаю что вы молодой человек но я вас слышу впервые,нет я понимаю что вы молодой человек но я вас слышу впервые,нет я понимаю что вы молодой человек но я вас слышу впервые,0.0,нет я понимаю что вы молодой человек но я вас слышу впервые,нет я понимаю что вы молодой человек ну я вас слышу впервых,0.16666666666666666
1202,всё понятно ну и что что это за люди такие которые звонят,всё понятно ну и что что это за люди такие которые звонят,все понятно и что это за людито такие которые звонят,0.3333333333333333,всё понятно ну и что что это за люди такие которые звонят,все понятно ну и что это за люди такие которые звонят,0.16666666666666666
1203,ну вы мне звоните,ну вы мне звоните,ну вы мне звоните,0.0,ну вы мне звоните,ну вы мне звоните,0.0
1204,ну вот ааа и я так же думаю что он просто устал от этого блять говна,ну вот ааа и я так же думаю что он просто устал от этого блять говна,ну вот вам я так же думаю что он просто устал от любить говна,0.25,ну вот ааа и я так же думаю что он просто устал от этого блять говна,ну вот ааа и я так же думаю что он просто блять говна,0.1875
1205,и я ещё раз повторите,и я ещё раз повторите,и я еще раз повторю,0.4,и я ещё раз повторите,и я еще раз повторите,0.2
1206,время обеда когда можно приходить,время обеда когда можно приходить,время обеда когда можно приходить,0.0,время обеда когда можно приходить,время обеда когда можно приходить,0.0
1207,слушай ну ты же сам мне сказал я не знаю чё тебе сказать,слушай ну ты же сам мне сказал я не знаю чё тебе сказать,слушайте же сам мне сказал я не знаю че тебе сказать,0.3076923076923077,слушай ну ты же сам мне сказал я не знаю чё тебе сказать,слушай ну ты же сам мне сказал я не знаю че тебе сказать,0.07692307692307693
1208,а чё у меня нету телефона,а чё у меня нету телефона,а че у меня нету телефона,0.16666666666666666,а чё у меня нету телефона,а че у меня нету телефона,0.16666666666666666
1209,вот поэтомуаа,вот поэтомуаа,вот поэтому,0.5,вот поэтомуаа,вот поэтомуа,0.5
1210,это ж какой позор то какой,это ж какой позор то какой,это ж какой позор то какой,0.0,это ж какой позор то какой,вот так ж какой позор то какой,0.3333333333333333
1211,это ж сколько народу надо а,это ж сколько народу надо а,это сколько народу надо о,0.3333333333333333,это ж сколько народу надо а,это ж сколько народу надо а,0.0
1212,а вы мне кто такой вообще,а вы мне кто такой вообще,а вы мне кто такой вообще,0.0,а вы мне кто такой вообще,а вы мне кто такой вообще,0.0
1213,давай встретимся ещё давай да а как тебя зовут то,давай встретимся ещё давай да а как тебя зовут то,давай встретимся еще давай да а как тебе зовут то,0.2,давай встретимся ещё давай да а как тебя зовут то,давай встретимся еще да а как тебя зовут то,0.2
1214,давай ещё раз повтори это же просто невозможно,давай ещё раз повтори это же просто невозможно,давай еще раз повторите это же просто невозможно,0.25,давай ещё раз повтори это же просто невозможно,давай еще раз повторяю это же просто невозможно,0.25
1215,кто вам дал такую информацию,кто вам дал такую информацию,кто вам дал такой информацию,0.2,кто вам дал такую информацию,кто вам дал такую информацию,0.0
1216,и всё ну короче вот и все это пиздёнство блядь,и всё ну короче вот и все это пиздёнство блядь,да все но короче вот и все это пизденство блять,0.5,и всё ну короче вот и все это пиздёнство блядь,и все ну короче вот и все это пизденство блять,0.3
1217,нууу ну а что такое эээ,нууу ну а что такое эээ,ну а что такое,0.3333333333333333,нууу ну а что такое эээ,ну а что такое,0.3333333333333333
1218,я говорю ты что не понял,я говорю ты что не понял,я говорю ты что не понял,0.0,я говорю ты что не понял,я говорю ты что не понял,0.0
1219,ну это я в курсе ну а ты откуда знаешь,ну это я в курсе ну а ты откуда знаешь,ну это я в курсе а ты откуда знаешь,0.1,ну это я в курсе ну а ты откуда знаешь,ну это я в курсе ну а ты откуда знаешь,0.0
1220,время девять ноль ноль ноль,время девять ноль ноль ноль,время девять ноль ноль ноль,0.0,время девять ноль ноль ноль,время девять ноль ноль,0.2
1221,а вы куда звоните то ы,а вы куда звоните то ы,а вы куда звоните ко,0.3333333333333333,а вы куда звоните то ы,а вы куда звоните то,0.16666666666666666
1222,не понял вы мне что не сказали куда прибыть то,не понял вы мне что не сказали куда прибыть то,не понял вы мне что не сказали куда прибыть то,0.0,не понял вы мне что не сказали куда прибыть то,не понял вы мне что не сказали куда прибыль то,0.1
1223,давайте так у меня щас будет другой телефон я вам перезвоню,давайте так у меня щас будет другой телефон я вам перезвоню,давайте так у меня щас будет другой телефон я вам перезвоню,0.0,давайте так у меня щас будет другой телефон я вам перезвоню,давайте так еще другой телефон я вам перезвоню,0.36363636363636365
1224,вы чё то хотите я вам щас скажу что это за номер вы не сказали мне его,вы чё то хотите я вам щас скажу что это за номер вы не сказали мне его,вы че то хотите я вам щас скажу что это за номер вы не сказали мне его,0.058823529411764705,вы чё то хотите я вам щас скажу что это за номер вы не сказали мне его,себе тохотите я вам скажу что это за номер вы не сказали мне его,0.29411764705882354
1225,я говорю что я не знаю кто это такой а кто вам звонил вы чёёётко мне сказали прибыть в триста четырнадцатый кабинет,я говорю что я не знаю кто это такой а кто вам звонил вы чёёётко мне сказали прибыть в триста четырнадцатый кабинет,я говорю что я не знаю кто такой а кто вам звонил вы четко мне сказали прибыть в триста четырнадцатый кабинет,0.09090909090909091,я говорю что я не знаю кто это такой а кто вам звонил вы чёёётко мне сказали прибыть в триста четырнадцатый кабинет,я говорю что я не знаю кто такой а кто вам звонил вы че тырешу кабинет,0.36363636363636365
